window,mae,rmse,mape,mse
88,26.910455566148762,35.600247900119854,0.037050837905920286,1267.3776505499882
89,27.684070847881554,36.24780529303358,0.037502508451190616,1313.9033885616732
90,42.94539518960544,57.25512192000741,0.06117582670349125,3278.1489860749134
91,50.93664953102799,62.89515364696898,0.07145643080178991,3955.800352275835
92,56.404976618401,68.2845145301564,0.07841461418468544,4662.77492461914
93,59.452085434000956,70.00485902871553,0.08320907744088533,4900.680287630334
94,60.4395350232714,70.70440079273844,0.08552673159011107,4999.112291460192
95,65.28789240585759,75.42902378000286,0.08962293526918311,5689.537628404239
96,66.87796842196356,75.0052510809555,0.09167334523383151,5625.787689717176
97,41.91797005820423,53.08379591890566,0.05401636545021653,2817.889389160025
98,41.560352219569005,53.930662074012076,0.0539767322511626,2908.516311741285
99,45.10587241338486,55.32223637333725,0.05917803798792537,3060.549837347399
100,47.771238614582366,58.68922182619128,0.06024509778733863,3444.4247585638864
101,50.44583344458393,58.642623262391695,0.0634811077473397,3438.9572630948032
102,44.849234036244006,51.506128706218654,0.060432312815281476,2652.881294301561
103,36.61184597058904,42.23524940762518,0.0487159043895307,1783.8162925243034
104,39.606713437878234,45.47501955197623,0.05289428157800746,2067.9774032526207
105,49.45065604480055,51.20594083081589,0.06316771012233467,2622.0483763690177
106,39.305234837083226,41.65943261198268,0.051635403561548866,1735.508325552326
107,40.32220943282198,49.78455530286058,0.05313824712687461,2478.501946703584
108,45.94754430415797,52.487509515106964,0.060065377926104876,2754.938655098444
109,48.03143385566175,54.47874179183163,0.06265491718118109,2967.9333072210625
110,51.58899878192843,56.793924964812184,0.06677816334051462,3225.549912908717
111,44.28369174081029,49.62602977740514,0.054424928559389095,2462.7428314679014
112,49.590581973197786,54.00571087896188,0.06135154304470756,2916.616807542021
113,45.210498791269075,48.581645106419664,0.05595283350257641,2360.1762412461094
114,39.25593614943375,42.56456599495029,0.048693175565185966,1811.7422783384786
115,45.83207910532344,50.81087906234419,0.05833935305597678,2581.745431088167
116,65.24523441065517,80.9606865550251,0.07844178192502452,6554.632767461023
117,73.88531966124177,84.4023780736362,0.08887468694522256,7123.761424485026
118,78.08642447603823,87.36564464431184,0.09582219258476843,7632.755864116175
119,78.73249952333553,88.86761873509313,0.09547782129622405,7897.453659645876
120,70.22860230050296,82.70510829665322,0.08554294440468997,6840.134938361139
121,72.49354695321732,82.6233876336912,0.08801457604663106,6826.624184067195
122,68.99159089259047,77.3186275248155,0.08308051409689252,5978.1701623211575
123,55.03652929497743,62.87931375933547,0.0698753135966577,3953.808098844954
124,60.276745434259205,64.28842950294053,0.07635189430827878,4133.002167954555
125,50.08535674051927,54.73492245199894,0.0596959166877978,2995.911735826338
126,58.58835775142547,59.85925172179738,0.0720865854361503,3583.1300166935025
127,49.32402770595013,50.926423292172935,0.06182483417442269,2593.500589333574
128,53.11478256747086,56.83273606432057,0.06592012620133224,3229.959888556724
129,56.36910701709913,59.1925466090401,0.06970768617905457,3503.7575740633847
130,52.4899176027755,56.67334848414855,0.06574675359922767,3211.868428405742
131,57.78932889330112,60.55448260095512,0.07231426121847769,3666.8453630693766
132,55.25029272630967,57.72122220382176,0.06903550879129781,3331.739492702966
133,58.08896345895822,61.065465420632556,0.07101842887400486,3728.99106703847
134,44.87936496936769,49.66437625554538,0.056703060382226764,2466.5502688523798
135,36.39929406412869,41.18532328269768,0.04703661974898482,1696.2308539003195
136,32.76585949336488,39.32943687544396,0.04316640653109971,1546.8046049395314
137,43.53675612521992,54.83668997320663,0.055090332948912364,3007.062567217581
138,42.50527924277443,55.44610121633032,0.054001086877647854,3074.270140091546
139,38.542568714348896,51.55166436812695,0.04722175188252953,2657.5740991240095
140,34.45354162198094,49.174411275153744,0.041729665834216965,2418.1227242579675
141,40.31818093084981,52.767385326508254,0.04823384780562014,2784.3969541961987
142,33.70790909173392,46.27017806171625,0.03999268850437025,2140.9293778629276
143,44.67963421737532,56.13498133177766,0.05227515295722174,3151.1361291190265
144,36.19870530688815,43.099701465834826,0.04409578787771247,1857.5842664440847
145,33.367789020535774,40.97549862517362,0.040204518206779,1678.991487581605
146,44.6312968416713,51.19988448371202,0.054795344729954565,2621.4281711454546
147,47.476203886863736,52.043659870497486,0.05949189426599984,2708.5425327160306
148,39.21914493252002,45.399300042136616,0.05048741335247943,2061.0964443159455
149,38.26875049481753,45.51953640769062,0.04990224722219316,2072.028194771072
150,37.10388378571827,43.575754059055114,0.0494865252509874,1898.846341815258
151,36.358035440244116,42.274370001197326,0.048389041785334576,1787.1223589981323
152,35.407235848354176,43.723849752482344,0.04677768596135841,1911.7750371776506
